"headline","countries","cities"
"Zika Outbreak Hits Miami","United States","Miami"
"Could Zika Reach New York City?","United States","New York City"
"First Case of Zika in Miami Beach","United States","Miami"
"Mystery Virus Spreads in Recife, Brazil","Brazil","Recife"
"Dallas man comes down with case of Zika","United States","Dallas"
"Trinidad confirms first Zika case","Bolivia","Trinidad"
"Zika Concerns are Spreading in Houston","United States","Houston"
"The CDC in Atlanta is Growing Worried","United States","Atlanta"
"Brownsville teen contracts Zika virus","United States","Brownsville"
"Mosquito control efforts in St. Louis take new tactics with Zika threat","United States","St. Louis"
"San Juan reports 1st U.S. Zika-related death amid outbreak","Argentina","San Juan"
"Flu outbreak in Galveston, Texas","United States","Galveston"
"Zika alert – Manila now threatened","Philippines","Manila"
"Zika afflicts 7 in Iloilo City","Philippines","Iloilo"
"New Los Angeles Hairstyle goes Viral","United States","Los Angeles"
"Orlando volunteers aid Zika research","United States","Orlando"
"Chicago's First Zika Case Confirmed","United States","Chicago"
"Tampa Bay Area Zika Case Count Climbs","United States","Tampa"
"Bad Water Leads to Sickness in Flint, Michigan","United Kingdom","Flint"
"Baltimore plans for Zika virus","United States","Baltimore"
"London Health Unit Tracks Mad Cow Disease","Canada","London"
"Zika cases in Vietnam's Ho Chi Minh City surge","Ghana","Ho"
"Philadelphia experts track pandemic","United States","Philadelphia"
"Flu season hits Boston","United Kingdom","Boston"
"Scientists in Paris to look for answers","France","Paris"
"Key Zika Findings in San Diego Institute","Costa Rica","San Diego"
"Thailand-Zika Virus in Bangkok","Thailand","Bangkok"
"Beijing team cracks Zika secret","China","Beijing"
"Zika spreading to Salvador","Brazil","Salvador"
"Kuala Lumpur is Hit By Zika Threat","Malaysia","Kuala Lumpur"
"First Zika case confirmed in Yangon","Myanmar","Yangon"
"Tallahassee Doctors Discuss Zika Virus","United States","Tallahassee"
"Zika Virus Reaches San Francisco","Argentina","San Francisco"
"New Vaccine on Trial in Bethesda District","United States","Bethesda"
"Townsville Zika tests inconclusive","Australia","Townsville"
"Mandaluyong City under Siege by Virus","Philippines","Mandaluyong City"
"Hepatitis E re-emerges in Santa Rosa","Argentina","Santa Rosa"
"Zika worries in San Salvador","Mali","San"
"Zika virus reported in Cleveland","United States","Cleveland"
"More Zika patients reported in Austin","United States","Austin"
"Zika outbreak in Piracicaba, Brazil","Brazil","Piracicaba"
"Lima tries to address Zika Concerns","Peru","Lima"
"More people in Toronto are infected with Hepatitis E every year","Canada","Toronto"
"Brisbane is infested with Meningitis","Australia","Brisbane"
"Cholera outbreak in Dakar","Senegal","Dakar"
"Zika Virus Transmission Detected in Havana","Cuba","Havana"
"Zika symtomps spotted in Key West","United States","Key West"
"Case of Measles Reported in Vancouver","Canada","Vancouver"
"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm","United States","Seattle"
"Nashville takes precautions against Zika","United States","Nashville"
"Saint Croix under Zika threat","U.S. Virgin Islands","Saint Croix"
"Fort Collins Encounters Severe Symptoms of Gonorrhea","United States","Fort Collins"
"Zika surfaces in Klang, Malaysia","Malaysia","Klang"
"Rumors about Meningitis spreading in Guatemala City have been refuted","Guatemala","Guatemala City"
"Madison lab developing vaccine against Zika virus [The Wisconsin State Journal]","United States","Madison"
"New Zika Case Confirmed in Sarasota County","United States","Sarasota"
"Lower Hospitalization in Entebbe after Rabies Vaccine becomes Mandatory","Uganda","Entebbe"
"Jacksonville man hit by Zika","United States","Jacksonville"
"Schools in Shenzhen Closed Due to Malaria Outbreak","China","Shenzhen"
"Caracas patient dies","Venezuela","Caracas"
"More Quezon City Zika Transmissions","Philippines","Quezon City"
"Schools in Sydney Closed Due to Respiratory Syncytial Virus Outbreak","Australia","Sydney"
"Mumbai's Health Minister warns of more Zika cases","India","Mumbai"
"Pune woman diagnosed with Zika","India","Pune"
"Hospitals in Hanoi fill up with Zika patients","Vietnam","Hanoi"
"Authorities are Worried about the Spread of Bronchitis in Silver Spring","United States","Silver Spring"
"Zika: Delhi for strict monitoring","India","Delhi"
"Belize City under threat from Zika","Belize","Belize City"
"Student sick in Campinas, Brazil","Brazil","Campinas"
"More Zika cases in Soyapango","El Salvador","Soyapango"
"Authorities are Worried about the Spread of Mad Cow Disease in Rome","Italy","Rome"
"Seoul confirms 14th Zika infection","South Korea","Seoul"
"Zika outbreak spreads to Mexico City","Mexico","Mexico City"
"Rochester authorities confirmed the spread of Dengue","United Kingdom","Rochester"
"El Paso fighting Zika","United States","El Paso"
"Zika now spreading through Jakarta","Indonesia","Jakarta"
